Data,Label
745.0,0
760.0,0
776.0,0
722.0,0
737.0,0
752.0,0
760.0,0
776.0,0
791.0,0
798.0,0
814.0,0
829.0,0
837.0,0
721.0,0
737.0,0
744.0,0
759.0,0
775.0,0
721.0,0
736.0,0
752.0,0
759.0,0
775.0,0
729.0,0
736.0,0
752.0,0
767.0,0
775.0,0
721.0,0
736.0,0
744.0,0
759.0,0
774.0,0
721.0,0
736.0,0
751.0,0
759.0,0
774.0,0
728.0,0
736.0,0
751.0,0
766.0,0
774.0,0
789.0,0
736.0,0
743.0,0
759.0,0
774.0,0
721.0,0
736.0,0
751.0,0
759.0,0
774.0,0
728.0,0
736.0,0
751.0,0
766.0,0
774.0,0
721.0,0
736.0,0
743.0,0
759.0,0
774.0,0
720.0,0
735.0,0
751.0,0
758.0,0
774.0,0
728.0,0
735.0,0
751.0,0
766.0,0
774.0,0
735.0,0
743.0,0
758.0,0
774.0,0
720.0,0
735.0,0
750.0,0
758.0,0
774.0,0
789.0,0
796.0,0
812.0,0
827.0,0
835.0,0
720.0,0
735.0,0
743.0,0
758.0,0
773.0,0
720.0,0
735.0,0
750.0,0
758.0,0
773.0,0
727.0,0
735.0,0
750.0,0
765.0,0
773.0,0
720.0,0
735.0,0
743.0,0
758.0,0
773.0,0
720.0,0
735.0,0
750.0,0
758.0,0
774.0,0
728.0,0
736.0,0
751.0,0
766.0,0
774.0,0
721.0,0
736.0,0
744.0,0
759.0,0
775.0,0
721.0,0
737.0,0
752.0,0
759.0,0
775.0,0
729.0,0
737.0,0
752.0,0
767.0,0
775.0,0
721.0,0
737.0,0
744.0,0
759.0,0
775.0,0
721.0,0
737.0,0
752.0,0
759.0,0
775.0,0
790.0,0
737.0,0
752.0,0
767.0,0
775.0,0
790.0,0
805.0,0
813.0,0
828.0,0
844.0,0
721.0,0
736.0,0
751.0,0
759.0,0
775.0,0
790.0,0
797.0,0
813.0,0
828.0,0
836.0,0
721.0,0
736.0,0
744.0,0
759.0,0
774.0,0
721.0,0
736.0,0
751.0,0
759.0,0
774.0,0
790.0,0
797.0,0
812.0,0
828.0,0
836.0,0
720.0,0
735.0,0
743.0,0
758.0,0
774.0,0
721.0,0
736.0,0
751.0,0
759.0,0
774.0,0
728.0,0
736.0,0
751.0,0
766.0,0
774.0,0
721.0,0
736.0,0
744.0,0
759.0,0
774.0,0
782.0,0
736.0,0
752.0,0
759.0,0
775.0,0
729.0,0
737.0,0
752.0,0
767.0,0
774.0,0
790.0,0
805.0,0
813.0,0
828.0,0
844.0,0
722.0,0
737.0,0
752.0,0
760.0,0
775.0,0
729.0,0
737.0,0
752.0,0
767.0,0
775.0,0
791.0,0
806.0,0
813.0,0
829.0,0
844.0,0
721.0,0
737.0,0
752.0,0
759.0,0
775.0,0
729.0,0
736.0,0
752.0,0
767.0,0
775.0,0
721.0,0
736.0,0
744.0,0
759.0,0
775.0,0
782.0,0
797.0,0
812.0,0
820.0,0
836.0,0
851.0,0
858.0,0
874.0,0
889.0,0
897.0,0
721.0,0
736.0,0
744.0,0
759.0,0
775.0,0
721.0,0
736.0,0
752.0,0
759.0,0
775.0,0
729.0,0
737.0,0
752.0,0
767.0,0
775.0,0
790.0,0
805.0,0
813.0,0
828.0,0
844.0,0
722.0,0
737.0,0
752.0,0
760.0,0
775.0,0
790.0,0
798.0,0
813.0,0
829.0,0
837.0,0
722.0,0
737.0,0
745.0,0
760.0,0
776.0,0
722.0,0
737.0,0
753.0,0
760.0,0
776.0,0
730.0,0
737.0,0
752.0,0
768.0,0
776.0,0
722.0,0
737.0,0
745.0,0
760.0,0
776.0,0
722.0,0
737.0,0
752.0,0
760.0,0
775.0,0
730.0,0
737.0,0
752.0,0
768.0,0
776.0,0
791.0,0
806.0,0
814.0,0
829.0,0
844.0,0
722.0,0
737.0,0
752.0,0
760.0,0
775.0,0
730.0,0
737.0,0
752.0,0
767.0,0
775.0,0
722.0,0
737.0,0
744.0,0
760.0,0
775.0,0
722.0,0
737.0,0
752.0,0
760.0,0
776.0,0
791.0,0
798.0,0
814.0,0
829.0,0
837.0,0
852.0,0
737.0,0
745.0,0
760.0,0
776.0,0
722.0,0
738.0,0
753.0,0
760.0,0
776.0,0
791.0,0
799.0,0
814.0,0
829.0,0
837.0,0
722.0,0
738.0,0
745.0,0
760.0,0
776.0,0
784.0,0
799.0,0
814.0,0
822.0,0
837.0,0
730.0,0
738.0,0
753.0,0
768.0,0
776.0,0
722.0,0
738.0,0
745.0,0
761.0,0
776.0,0
722.0,0
738.0,0
753.0,0
761.0,0
776.0,0
730.0,0
737.0,0
753.0,0
768.0,0
776.0,0
722.0,0
737.0,0
745.0,0
760.0,0
776.0,0
722.0,0
738.0,0
753.0,0
760.0,0
776.0,0
730.0,0
738.0,0
753.0,0
768.0,0
776.0,0
723.0,0
738.0,0
746.0,0
761.0,0
776.0,0
723.0,0
738.0,0
753.0,0
761.0,0
731.0,0
738.0,0
753.0,0
769.0,0
777.0,0
792.0,0
807.0,0
815.0,0
830.0,0
845.0,0
723.0,0
738.0,0
753.0,0
761.0,0
776.0,0
792.0,0
738.0,0
753.0,0
769.0,0
777.0,0
723.0,0
738.0,0
746.0,0
761.0,0
777.0,0
723.0,0
739.0,0
754.0,0
762.0,0
777.0,0
793.0,0
739.0,0
754.0,0
769.0,0
777.0,0
723.0,0
739.0,0
746.0,0
762.0,0
777.0,0
724.0,0
739.0,0
754.0,0
762.0,0
777.0,0
793.0,0
739.0,0
754.0,0
770.0,0
778.0,0
793.0,0
739.0,0
747.0,0
762.0,0
778.0,0
724.0,0
739.0,0
755.0,0
762.0,0
778.0,0
732.0,0
739.0,0
755.0,0
770.0,0
778.0,0
793.0,0
739.0,0
747.0,0
762.0,0
778.0,0
724.0,0
740.0,0
755.0,0
762.0,0
778.0,0
732.0,0
740.0,0
755.0,0
770.0,0
778.0,0
793.0,0
739.0,0
747.0,0
762.0,0
778.0,0
785.0,0
801.0,0
816.0,0
762.0,0
778.0,0
793.0,0
801.0,0
816.0,0
831.0,0
839.0,0
724.0,0
739.0,0
747.0,0
762.0,0
778.0,0
724.0,0
739.0,0
754.0,0
762.0,0
777.0,0
792.0,0
800.0,0
815.0,0
830.0,0
838.0,0
853.0,0
869.0,0
876.0,0
892.0,0
907.0,0
722.0,0
738.0,0
753.0,0
760.0,0
776.0,0
791.0,0
799.0,0
814.0,0
829.0,0
837.0,0
721.0,0
737.0,0
744.0,0
760.0,0
775.0,0
721.0,0
736.0,0
752.0,0
759.0,0
775.0,0
728.0,0
736.0,0
751.0,0
767.0,0
774.0,0
721.0,0
736.0,0
744.0,0
759.0,0
775.0,0
721.0,0
736.0,0
752.0,0
759.0,0
774.0,0
728.0,0
736.0,0
751.0,0
766.0,0
774.0,0
721.0,0
736.0,0
744.0,0
759.0,0
774.0,0
721.0,0
736.0,0
751.0,0
759.0,0
774.0,0
729.0,0
736.0,0
751.0,0
767.0,0
775.0,0
721.0,0
736.0,0
744.0,0
759.0,0
775.0,0
721.0,0
736.0,0
752.0,0
759.0,0
775.0,0
729.0,0
737.0,0
752.0,0
767.0,0
775.0,0
721.0,0
736.0,0
744.0,0
759.0,0
775.0,0
783.0,0
798.0,0
813.0,0
821.0,0
836.0,0
729.0,0
737.0,0
752.0,0
767.0,0
775.0,0
790.0,0
806.0,0
813.0,0
829.0,0
844.0,0
722.0,0
737.0,0
752.0,0
760.0,0
775.0,0
729.0,0
737.0,0
752.0,0
768.0,0
775.0,0
722.0,0
737.0,0
745.0,0
760.0,0
775.0,0
722.0,0
737.0,0
752.0,0
760.0,0
775.0,0
790.0,0
798.0,0
813.0,0
828.0,0
836.0,0
721.0,0
737.0,0
744.0,0
759.0,0
775.0,0
722.0,0
737.0,0
752.0,0
760.0,0
775.0,0
729.0,0
737.0,0
752.0,0
768.0,0
776.0,0
722.0,0
737.0,0
745.0,0
760.0,0
776.0,0
722.0,0
738.0,0
753.0,0
761.0,0
776.0,0
730.0,0
738.0,0
753.0,0
769.0,0
776.0,0
792.0,0
738.0,0
746.0,0
761.0,0
777.0,0
723.0,0
738.0,0
754.0,0
761.0,0
777.0,0
731.0,0
739.0,0
754.0,0
769.0,0
777.0,0
723.0,0
739.0,0
746.0,0
762.0,0
777.0,0
785.0,0
739.0,0
754.0,0
762.0,0
777.0,0
731.0,0
738.0,0
754.0,0
769.0,0
777.0,0
723.0,0
738.0,0
746.0,0
761.0,0
777.0,0
723.0,0
738.0,0
754.0,0
761.0,0
777.0,0
731.0,0
739.0,0
754.0,0
769.0,0
777.0,0
792.0,0
808.0,0
815.0,0
830.0,0
845.0,0
722.0,0
737.0,0
751.0,0
759.0,0
774.0,0
727.0,0
735.0,0
750.0,0
764.0,0
772.0,0
718.0,0
733.0,0
741.0,0
756.0,0
772.0,0
779.0,0
795.0,0
810.0,0
817.0,0
832.0,0
725.0,0
732.0,0
748.0,0
763.0,0
771.0,0
717.0,0
732.0,0
740.0,0
755.0,0
771.0,0
732.0,0
747.0,0
755.0,0
770.0,0
786.0,0
793.0,0
808.0,0
824.0,0
831.0,0
720.0,0
735.0,0
742.0,0
758.0,0
773.0,0
721.0,0
737.0,0
752.0,0
759.0,0
775.0,0
729.0,0
737.0,0
752.0,0
768.0,0
775.0,0
722.0,0
737.0,0
744.0,0
760.0,0
775.0,0
783.0,0
798.0,0
813.0,0
821.0,0
836.0,0
852.0,0
859.0,0
875.0,0
890.0,0
898.0,0
722.0,0
737.0,0
745.0,0
760.0,0
776.0,0
723.0,0
738.0,0
753.0,0
761.0,0
776.0,0
730.0,0
738.0,0
753.0,0
768.0,0
776.0,0
723.0,0
738.0,0
746.0,0
761.0,0
777.0,0
723.0,0
738.0,0
754.0,0
761.0,0
776.0,0
792.0,0
738.0,0
753.0,0
769.0,0
777.0,0
792.0,0
738.0,0
746.0,0
761.0,0
777.0,0
785.0,0
800.0,0
815.0,0
823.0,0
838.0,0
854.0,0
861.0,0
877.0,0
892.0,0
900.0,0
723.0,0
739.0,0
746.0,0
762.0,0
777.0,0
724.0,0
739.0,0
754.0,0
762.0,0
777.0,0
732.0,0
739.0,0
754.0,0
770.0,0
777.0,0
724.0,0
739.0,0
747.0,0
762.0,0
778.0,0
724.0,0
739.0,0
755.0,0
762.0,0
778.0,0
793.0,0
740.0,0
755.0,0
770.0,0
778.0,0
724.0,0
740.0,0
747.0,0
763.0,0
778.0,0
725.0,0
740.0,0
755.0,0
762.0,0
777.0,0
793.0,0
739.0,0
754.0,0
769.0,0
777.0,0
723.0,0
738.0,0
746.0,0
761.0,0
776.0,0
722.0,0
737.0,0
752.0,0
759.0,0
774.0,0
790.0,0
735.0,0
750.0,0
765.0,0
773.0,0
718.0,0
734.0,0
741.0,0
757.0,0
772.0,0
718.0,0
734.0,0
749.0,0
757.0,0
772.0,0
726.0,0
734.0,0
749.0,0
764.0,0
772.0,0
719.0,0
734.0,0
742.0,0
757.0,0
773.0,0
720.0,0
735.0,0
750.0,0
758.0,0
773.0,0
728.0,0
736.0,0
751.0,0
766.0,0
774.0,0
790.0,0
737.0,0
745.0,0
760.0,0
776.0,0
723.0,0
739.0,0
754.0,0
760.0,0
776.0,0
730.0,0
738.0,0
753.0,0
768.0,0
776.0,0
722.0,0
737.0,0
745.0,0
760.0,0
776.0,0
783.0,0
737.0,0
752.0,0
760.0,0
776.0,0
730.0,0
737.0,0
752.0,0
768.0,0
776.0,0
722.0,0
737.0,0
745.0,0
760.0,0
775.0,0
722.0,0
737.0,0
752.0,0
760.0,0
775.0,0
791.0,0
798.0,0
813.0,0
829.0,0
837.0,0
721.0,0
737.0,0
744.0,0
759.0,0
775.0,0
782.0,0
798.0,0
813.0,0
759.0,0
774.0,0
728.0,0
736.0,0
751.0,0
767.0,0
775.0,0
721.0,0
736.0,0
744.0,0
759.0,0
775.0,0
721.0,0
736.0,0
751.0,0
759.0,0
775.0,0
729.0,0
736.0,0
752.0,0
767.0,0
775.0,0
721.0,0
736.0,0
744.0,0
759.0,0
775.0,0
721.0,0
736.0,0
752.0,0
759.0,0
775.0,0
729.0,0
736.0,0
751.0,0
767.0,0
775.0,0
721.0,0
736.0,0
744.0,0
759.0,0
774.0,0
782.0,0
797.0,0
813.0,0
820.0,0
836.0,0
728.0,0
736.0,0
751.0,0
766.0,0
774.0,0
720.0,0
735.0,0
743.0,0
758.0,0
774.0,0
720.0,0
735.0,0
750.0,0
758.0,0
773.0,0
789.0,0
735.0,0
750.0,0
766.0,0
773.0,0
720.0,0
735.0,0
743.0,0
758.0,0
774.0,0
782.0,0
797.0,0
812.0,0
820.0,0
835.0,0
851.0,0
858.0,0
874.0,0
889.0,0
896.0,0
721.0,0
736.0,0
744.0,0
759.0,0
774.0,0
721.0,0
736.0,0
752.0,0
759.0,0
775.0,0
790.0,0
797.0,0
813.0,0
828.0,0
836.0,0
851.0,0
867.0,0
745.0,0
760.0,0
776.0,0
722.0,0
737.0,0
752.0,0
760.0,0
775.0,0
791.0,0
737.0,0
753.0,0
768.0,0
776.0,0
722.0,0
737.0,0
760.0,0
776.0,0
722.0,0
737.0,0
752.0,0
760.0,0
775.0,0
729.0,0
737.0,0
752.0,0
767.0,0
775.0,0
722.0,0
737.0,0
745.0,0
760.0,0
775.0,0
722.0,0
737.0,0
752.0,0
760.0,0
775.0,0
729.0,0
737.0,0
752.0,0
767.0,0
775.0,0
722.0,0
737.0,0
745.0,0
760.0,0
775.0,0
722.0,0
737.0,0
752.0,0
760.0,0
776.0,0
729.0,0
737.0,0
752.0,0
768.0,0
775.0,0
721.0,0
737.0,0
744.0,0
759.0,0
775.0,0
783.0,0
798.0,0
813.0,0
820.0,0
836.0,0
728.0,0
736.0,0
751.0,0
766.0,0
774.0,0
720.0,0
735.0,0
743.0,0
758.0,0
773.0,0
719.0,0
734.0,0
749.0,0
757.0,0
772.0,0
724.0,0
731.0,0
746.0,0
759.0,0
766.0,0
713.0,0
728.0,0
735.0,0
750.0,0
765.0,0
711.0,0
726.0,0
742.0,0
749.0,0
765.0,0
780.0,0
787.0,0
802.0,0
817.0,0
825.0,0
711.0,0
726.0,0
733.0,0
748.0,0
764.0,0
711.0,0
726.0,0
741.0,0
749.0,0
764.0,0
719.0,0
726.0,0
742.0,0
757.0,0
765.0,0
712.0,0
727.0,0
735.0,0
750.0,0
766.0,0
718.0,0
733.0,0
748.0,0
756.0,0
771.0,0
726.0,0
733.0,0
749.0,0
764.0,0
772.0,0
719.0,0
734.0,0
742.0,0
757.0,0
772.0,0
720.0,0
735.0,0
750.0,0
758.0,0
773.0,0
728.0,0
735.0,0
751.0,0
766.0,0
774.0,0
721.0,0
736.0,0
743.0,0
759.0,0
774.0,0
721.0,0
736.0,0
751.0,0
759.0,0
774.0,0
789.0,0
797.0,0
812.0,0
827.0,0
835.0,0
720.0,0
736.0,0
743.0,0
759.0,0
774.0,0
721.0,0
736.0,0
751.0,0
759.0,0
774.0,0
789.0,0
736.0,0
751.0,0
766.0,0
773.0,0
720.0,0
735.0,0
743.0,0
758.0,0
773.0,0
720.0,0
735.0,0
751.0,0
758.0,0
774.0,0
728.0,0
736.0,0
751.0,0
766.0,0
774.0,0
721.0,0
736.0,0
744.0,0
759.0,0
775.0,0
721.0,0
737.0,0
752.0,0
760.0,0
775.0,0
790.0,0
798.0,0
813.0,0
829.0,0
837.0,0
722.0,0
738.0,0
745.0,0
761.0,0
776.0,0
723.0,0
738.0,0
753.0,0
761.0,0
777.0,0
792.0,0
800.0,0
815.0,0
830.0,0
838.0,0
723.0,0
738.0,0
746.0,0
761.0,0
777.0,0
785.0,0
800.0,0
815.0,0
823.0,0
838.0,0
854.0,0
861.0,0
877.0,0
892.0,0
900.0,0
723.0,0
739.0,0
746.0,0
761.0,0
777.0,0
723.0,0
738.0,0
754.0,0
761.0,0
777.0,0
792.0,0
800.0,0
815.0,0
831.0,0
838.0,0
722.0,0
738.0,0
745.0,0
761.0,0
776.0,0
723.0,0
738.0,0
753.0,0
761.0,0
776.0,0
792.0,0
799.0,0
815.0,0
830.0,0
838.0,0
723.0,0
738.0,0
746.0,0
761.0,0
776.0,0
723.0,0
738.0,0
753.0,0
761.0,0
776.0,0
730.0,0
738.0,0
753.0,0
768.0,0
776.0,0
723.0,0
738.0,0
745.0,0
761.0,0
776.0,0
722.0,0
738.0,0
753.0,0
761.0,0
776.0,0
730.0,0
738.0,0
753.0,0
768.0,0
776.0,0
722.0,0
738.0,0
745.0,0
760.0,0
776.0,0
722.0,0
737.0,0
752.0,0
760.0,0
776.0,0
729.0,0
737.0,0
752.0,0
768.0,0
775.0,0
791.0,0
806.0,0
814.0,0
829.0,0
844.0,0
721.0,0
736.0,0
752.0,0
759.0,0
775.0,0
790.0,0
736.0,0
752.0,0
767.0,0
775.0,0
721.0,0
736.0,0
744.0,0
759.0,0
774.0,0
721.0,0
736.0,0
751.0,0
759.0,0
775.0,0
790.0,0
798.0,0
813.0,0
828.0,0
836.0,0
721.0,0
736.0,0
744.0,0
759.0,0
775.0,0
721.0,0
737.0,0
752.0,0
759.0,0
775.0,0
790.0,0
798.0,0
813.0,0
829.0,0
837.0,0
722.0,0
737.0,0
745.0,0
760.0,0
776.0,0
737.0,0
753.0,0
760.0,0
776.0,0
791.0,0
799.0,0
814.0,0
830.0,0
838.0,0
853.0,0
868.0,0
876.0,0
891.0,0
907.0,0
722.0,0
738.0,0
753.0,0
761.0,0
776.0,0
730.0,0
738.0,0
753.0,0
768.0,0
776.0,0
722.0,0
737.0,0
745.0,0
760.0,0
776.0,0
783.0,0
798.0,0
814.0,0
821.0,0
837.0,0
852.0,0
860.0,0
875.0,0
890.0,0
898.0,0
721.0,0
736.0,0
744.0,0
759.0,0
774.0,0
720.0,0
736.0,0
751.0,0
758.0,0
773.0,0
789.0,0
796.0,0
811.0,0
827.0,0
834.0,0
719.0,0
735.0,0
742.0,0
757.0,0
773.0,0
780.0,0
796.0,0
811.0,0
818.0,0
833.0,0
727.0,0
734.0,0
749.0,0
765.0,0
772.0,0
788.0,0
803.0,0
811.0,0
826.0,0
841.0,0
719.0,0
735.0,0
750.0,0
757.0,0
773.0,0
788.0,0
796.0,0
811.0,0
826.0,0
834.0,0
720.0,0
735.0,0
742.0,0
758.0,0
773.0,0
781.0,0
796.0,0
811.0,0
819.0,0
834.0,0
849.0,0
796.0,0
811.0,0
827.0,0
834.0,0
850.0,0
735.0,0
743.0,0
758.0,0
774.0,0
720.0,0
736.0,0
751.0,0
759.0,0
774.0,0
728.0,0
735.0,0
751.0,0
766.0,0
774.0,0
720.0,0
735.0,0
743.0,0
758.0,0
774.0,0
720.0,0
735.0,0
751.0,0
758.0,0
774.0,0
728.0,0
736.0,0
751.0,0
766.0,0
774.0,0
721.0,0
736.0,0
743.0,0
759.0,0
774.0,0
721.0,0
736.0,0
751.0,0
759.0,0
774.0,0
729.0,0
736.0,0
751.0,0
767.0,0
775.0,0
721.0,0
736.0,0
744.0,0
759.0,0
775.0,0
783.0,0
798.0,0
813.0,0
821.0,0
836.0,0
852.0,0
737.0,0
752.0,0
768.0,0
776.0,0
722.0,0
737.0,0
745.0,0
760.0,0
776.0,0
722.0,0
737.0,0
753.0,0
760.0,0
776.0,0
730.0,0
738.0,0
753.0,0
768.0,0
776.0,0
722.0,0
738.0,0
745.0,0
761.0,0
776.0,0
722.0,0
737.0,0
753.0,0
760.0,0
776.0,0
730.0,0
737.0,0
753.0,0
768.0,0
776.0,0
722.0,0
737.0,0
745.0,0
760.0,0
776.0,0
722.0,0
738.0,0
753.0,0
760.0,0
776.0,0
730.0,0
738.0,0
753.0,0
768.0,0
776.0,0
723.0,0
738.0,0
746.0,0
761.0,0
776.0,0
723.0,0
738.0,0
753.0,0
761.0,0
776.0,0
792.0,0
799.0,0
814.0,0
830.0,0
838.0,0
853.0,0
738.0,0
745.0,0
760.0,0
776.0,0
722.0,0
738.0,0
753.0,0
760.0,0
776.0,0
730.0,0
737.0,0
753.0,0
768.0,0
776.0,0
721.0,0
737.0,0
744.0,0
760.0,0
775.0,0
721.0,0
736.0,0
752.0,0
759.0,0
775.0,0
790.0,0
798.0,0
813.0,0
828.0,0
836.0,0
721.0,0
736.0,0
744.0,0
759.0,0
774.0,0
782.0,0
797.0,0
813.0,0
820.0,0
836.0,0
728.0,0
736.0,0
751.0,0
767.0,0
774.0,0
720.0,0
736.0,0
743.0,0
758.0,0
774.0,0
720.0,0
736.0,0
751.0,0
759.0,0
774.0,0
789.0,0
797.0,0
812.0,0
828.0,0
835.0,0
851.0,0
866.0,0
874.0,0
889.0,0
904.0,0
912.0,0
927.0,0
943.0,0
950.0,0
966.0,0
981.0,0
798.0,0
752.0,0
767.0,0
775.0,0
791.0,0
806.0,0
813.0,0
829.0,0
844.0,0
722.0,0
737.0,0
752.0,0
760.0,0
775.0,0
730.0,0
737.0,0
753.0,0
768.0,0
776.0,0
722.0,0
738.0,0
745.0,0
760.0,0
776.0,0
722.0,0
738.0,0
752.0,0
760.0,0
775.0,0
729.0,0
737.0,0
752.0,0
767.0,0
775.0,0
791.0,0
806.0,0
813.0,0
829.0,0
844.0,0
721.0,0
737.0,0
752.0,0
760.0,0
775.0,0
729.0,0
736.0,0
752.0,0
767.0,0
775.0,0
721.0,0
737.0,0
744.0,0
760.0,0
775.0,0
721.0,0
737.0,0
752.0,0
759.0,0
728.0,0
736.0,0
751.0,0
766.0,0
774.0,0
720.0,0
735.0,0
742.0,0
757.0,0
772.0,0
718.0,0
733.0,0
748.0,0
756.0,0
771.0,0
725.0,0
733.0,0
748.0,0
763.0,0
770.0,0
785.0,0
800.0,0
808.0,0
823.0,0
838.0,0
846.0,0
861.0,0
876.0,0
884.0,0
899.0,0
723.0,0
730.0,0
746.0,0
761.0,0
769.0,0
716.0,0
731.0,0
738.0,0
754.0,0
769.0,0
717.0,0
732.0,0
747.0,0
755.0,0
770.0,0
785.0,0
793.0,0
808.0,0
824.0,0
831.0,0
847.0,0
734.0,0
742.0,0
757.0,0
773.0,0
781.0,0
796.0,0
811.0,0
819.0,0
834.0,0
729.0,0
736.0,0
752.0,0
767.0,0
775.0,0
722.0,0
737.0,0
745.0,0
760.0,0
776.0,0
784.0,0
799.0,0
814.0,0
822.0,0
837.0,0
730.0,0
738.0,0
753.0,0
768.0,0
776.0,0
722.0,0
738.0,0
745.0,0
761.0,0
776.0,0
722.0,0
738.0,0
753.0,0
760.0,0
776.0,0
730.0,0
737.0,0
752.0,0
768.0,0
776.0,0
791.0,0
806.0,0
814.0,0
829.0,0
844.0,0
722.0,0
737.0,0
752.0,0
760.0,0
775.0,0
729.0,0
737.0,0
752.0,0
767.0,0
775.0,0
791.0,0
737.0,0
744.0,0
760.0,0
775.0,0
722.0,0
737.0,0
752.0,0
760.0,0
775.0,0
791.0,0
737.0,0
752.0,0
767.0,0
775.0,0
722.0,0
737.0,0
745.0,0
759.0,0
775.0,0
721.0,0
737.0,0
752.0,0
759.0,0
775.0,0
790.0,0
798.0,0
813.0,0
828.0,0
836.0,0
721.0,0
736.0,0
744.0,0
759.0,0
775.0,0
721.0,0
736.0,0
752.0,0
759.0,0
775.0,0
729.0,0
736.0,0
752.0,0
767.0,0
775.0,0
790.0,0
736.0,0
744.0,0
759.0,0
775.0,0
721.0,0
736.0,0
751.0,0
759.0,0
774.0,0
790.0,0
797.0,0
813.0,0
828.0,0
836.0,0
851.0,0
866.0,0
874.0,0
889.0,0
904.0,0
720.0,0
736.0,0
751.0,0
759.0,0
774.0,0
728.0,0
736.0,0
751.0,0
766.0,0
774.0,0
721.0,0
736.0,0
744.0,0
759.0,0
774.0,0
721.0,0
736.0,0
751.0,0
759.0,0
775.0,0
790.0,0
797.0,0
813.0,0
828.0,0
835.0,0
720.0,0
736.0,0
743.0,0
758.0,0
774.0,0
720.0,0
735.0,0
750.0,0
758.0,0
773.0,0
727.0,0
735.0,0
750.0,0
765.0,0
773.0,0
788.0,0
803.0,0
811.0,0
826.0,0
841.0,0
719.0,0
734.0,0
749.0,0
757.0,0
772.0,0
727.0,0
734.0,0
749.0,0
764.0,0
772.0,0
719.0,0
734.0,0
741.0,0
756.0,0
772.0,0
718.0,0
734.0,0
749.0,0
756.0,0
772.0,0
726.0,0
733.0,0
748.0,0
763.0,0
771.0,0
718.0,0
733.0,0
740.0,0
756.0,0
771.0,0
718.0,0
733.0,0
748.0,0
756.0,0
771.0,0
725.0,0
733.0,0
748.0,0
763.0,0
771.0,0
786.0,0
801.0,0
809.0,0
824.0,0
840.0,0
718.0,0
734.0,0
749.0,0
757.0,0
772.0,0
727.0,0
734.0,0
749.0,0
765.0,0
773.0,0
720.0,0
735.0,0
743.0,0
758.0,0
773.0,0
720.0,0
736.0,0
751.0,0
758.0,0
774.0,0
728.0,0
736.0,0
751.0,0
767.0,0
774.0,0
721.0,0
737.0,0
744.0,0
760.0,0
775.0,0
722.0,0
737.0,0
752.0,0
760.0,0
776.0,0
791.0,0
799.0,0
814.0,0
829.0,0
837.0,0
722.0,0
737.0,0
745.0,0
760.0,0
776.0,0
722.0,0
737.0,0
752.0,0
760.0,0
775.0,0
730.0,0
737.0,0
752.0,0
768.0,0
776.0,0
722.0,0
737.0,0
744.0,0
760.0,0
775.0,0
721.0,0
737.0,0
752.0,0
760.0,0
775.0,0
729.0,0
737.0,0
752.0,0
767.0,0
775.0,0
721.0,0
736.0,0
744.0,0
759.0,0
774.0,0
721.0,0
736.0,0
751.0,0
759.0,0
774.0,0
735.0,0
750.0,0
766.0,0
773.0,0
720.0,0
735.0,0
742.0,0
757.0,0
773.0,0
719.0,0
734.0,0
749.0,0
756.0,0
772.0,0
725.0,0
733.0,0
748.0,0
763.0,0
770.0,0
786.0,0
732.0,0
739.0,0
754.0,0
770.0,0
717.0,0
732.0,0
747.0,0
755.0,0
770.0,0
724.0,0
732.0,0
747.0,0
763.0,0
770.0,0
786.0,0
801.0,0
809.0,0
824.0,0
839.0,0
778.0,0
733.0,0
748.0,0
756.0,0
771.0,0
726.0,0
734.0,0
749.0,0
764.0,0
772.0,0
720.0,0
735.0,0
743.0,0
758.0,0
773.0,0
721.0,0
736.0,0
751.0,0
759.0,0
774.0,0
790.0,0
737.0,0
752.0,0
768.0,0
775.0,0
790.0,0
736.0,0
744.0,0
759.0,0
775.0,0
721.0,0
736.0,0
752.0,0
759.0,0
775.0,0
729.0,0
736.0,0
751.0,0
767.0,0
775.0,0
790.0,0
736.0,0
744.0,0
759.0,0
775.0,0
721.0,0
736.0,0
752.0,0
759.0,0
775.0,0
790.0,0
798.0,0
813.0,0
828.0,0
836.0,0
721.0,0
737.0,0
744.0,0
760.0,0
775.0,0
722.0,0
737.0,0
752.0,0
760.0,0
775.0,0
791.0,0
798.0,0
814.0,0
829.0,0
836.0,0
852.0,0
737.0,0
744.0,0
760.0,0
775.0,0
722.0,0
737.0,0
752.0,0
760.0,0
775.0,0
729.0,0
737.0,0
752.0,0
767.0,0
775.0,0
791.0,0
806.0,0
813.0,0
829.0,0
844.0,0
852.0,0
737.0,0
752.0,0
760.0,0
775.0,0
729.0,0
737.0,0
752.0,0
767.0,0
774.0,0
721.0,0
736.0,0
743.0,0
759.0,0
774.0,0
721.0,0
736.0,0
751.0,0
759.0,0
774.0,0
789.0,0
797.0,0
812.0,0
827.0,0
835.0,0
720.0,0
735.0,0
743.0,0
743.0,0
773.0,0
773.0,0
735.0,0
743.0,0
743.0,0
773.0,0
773.0,0
796.0,0
812.0,0
827.0,0
835.0,0
789.0,0
804.0,0
812.0,0
827.0,0
843.0,0
721.0,0
736.0,0
751.0,0
759.0,0
774.0,0
729.0,0
736.0,0
752.0,0
767.0,0
775.0,0
721.0,0
737.0,0
744.0,0
760.0,0
775.0,0
722.0,0
737.0,0
752.0,0
760.0,0
776.0,0
791.0,0
799.0,0
814.0,0
829.0,0
837.0,0
722.0,0
